Query,Intent,Aggregation,Paid Status,split
When did rondonuwu fruit and vegi first pay?,Invoice,Min,None,train
How much credit does barnett design have yesterday,Sales,Total,FALSE,test
"Last 12 months, what are my AP?",Account Payable,Total,None,test
Display the total number of transactions with sushi by katsuyuki,Invoice,Count,None,train
"Since Last fiscal year, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
What was our biggest expense Last 30 days?,Expense,Max,None,train
What are my AR This year to date?,Account Receivables,Total,None,train
"today, what are my AR?",Account Receivables,Total,None,test
What is my first revenue for freeman sporting good in the Last 12 months?,Sales,Min,None,train
What were my outgoings during the today?,Expense,Total,None,train
How much money did we make Last 7 days?,Sales,Total,None,train
What is my min invoice from chin's gas and oil?,Bill,Min,None,test
"Last 12 months, how much has weiskopf consulting paid us?",Sales,Total,TRUE,test
How much money have we paid to squeaky kleen car wash Last year?,Expense,Total,TRUE,train
What was the highest invoice amount for trimming?,Sales,Max,None,train
What was the first invoice for sprinkler head?,Invoice,Min,None,train
"Since This fiscal year to date, how many invoices have been past due?",Invoice,Count,FALSE,train
What was the max invoice amount for printing?,Sales,Max,None,train
How much money does 0969 ocean view road still owe?,Sales,Total,FALSE,train
When was the first time we billed for refund & allowance,Invoice,Min,None,train
How much money did we spend on net expenses?,Expense,Total,None,train
What was the max invoice amount for truck in Last fiscal year?,Sales,Max,None,train
What's the total number of invoices we've issued to 0969 ocean view road?,Invoice,Count,None,train
"This week, what are my account payable?",Account Payable,Total,None,test
How many invoices are past due since Last 30 days?,Invoice,Count,FALSE,train
"This fiscal year to date, what are my account receivable?",Account Receivables,Total,None,train
What was the total of our net expenses?,Expense,Total,None,train
What was our total spend for bob's burger joint in the Last year?,Expense,Total,None,train
How much money did we make This fiscal year?,Sales,Total,None,train
How much did we spend on books by bessie in This quarter?,Expense,Total,TRUE,train
"In the Last year, what has been my mean revenue from kate whelan?",Sales,Average,None,test
What is the balance owed by sushi by katsuyuki?,Sales,Total,FALSE,test
When was diego rodriguez first payment?,Invoice,Min,TRUE,train
How much we received from mastercard?,Invoice,Total,None,train
How much we received from insurance?,Invoice,Total,None,train
What's the total number of invoices we've issued rago travel agency?,Invoice,Count,None,train
What were my outgoings during the This year?,Expense,Total,None,train
How much have we been spending on fountains and garden lighting?,Expense,Total,None,train
What was the min invoice amount for depreciation in This fiscal year to date?,Sales,Min,None,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
What's the total number of invoices we've issued to gevelber photography?,Invoice,Count,None,train
How many wedding planning by whitney invoices haven't been paid yet?,Invoice,Count,FALSE,train
What are my account receivable Last 12 months?,Account Receivables,Total,None,train
How many services did I sell Last 30 days?,Invoice,Count,None,train
What was the min invoice amount for kate whelan?,Sales,Min,None,train
What were my outgoings during the yesterday?,Expense,Total,None,train
How much money did we make This month?,Sales,Total,None,train
How much did we spend on diego's road warrior bodyshop in yesterday?,Expense,Total,TRUE,train
How much revenue came through red rock diner last month?,Sales,Total,None,train
"This quarter, what was our largest expense?",Expense,Max,None,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
What was the first invoice for sprinkler pipes?,Invoice,Min,None,train
When was the last time bill's windsurf shop paid you?,Invoice,Max,TRUE,train
"In the This quarter, how many concrete did I sell?",Invoice,Count,None,train
How much revenue came through duke basketball camp last month?,Sales,Total,None,train
When did diego rodriguez last pay?,Invoice,Max,None,train
How much have we been spending on insurance?,Expense,Total,None,train
Display the total number of transactions with dukes basketball camp,Invoice,Count,None,train
"As of yesterday, what was our net income?",Sales,Total,None,train
When was the first time mark cho paid you?,Invoice,Min,TRUE,train
How many dylan sollfrank invoices are still outstanding?,Invoice,Count,FALSE,test
What was the lowest invoice amount for services?,Sales,Min,None,train
Display all transactions involving rondonuwu fruit and vegi,Invoice,Count,None,test
How many paulsen medical supply invoices are still outstanding?,Invoice,Count,FALSE,test
When was diego rodriguez last payment?,Invoice,Max,TRUE,train
What are my AP This quarter?,Account Payable,Total,None,train
"As of Last month, what was our net income?",Sales,Total,None,train
What is my mean bill for fidelity?,Bill,Average,None,train
"This year, what are my AR?",Account Receivables,Total,None,test
What was the last invoice I received from hicks hardware?,Bill,Max,None,test
What was our smallest expense This year to date?,Expense,Min,None,train
Who are my outstanding creditors?,Invoice,List,FALSE,test
How much have we been spending on job material?,Expense,Total,None,train
What is my highest bill for cal telephone?,Bill,Max,None,train
What are my account receivable This fiscal year to date?,Account Receivables,Total,None,train
"This quarter to date, what are my AR?",Account Receivables,Total,None,test
"This week, what was our smallest expense?",Expense,Min,None,train
What were my outgoings during the Last 12 months?,Expense,Total,None,train
"Last 7 days, how much has geeta kalapatapu paid us?",Sales,Total,TRUE,test
When was gevelber photography last payment?,Invoice,Max,TRUE,train
What was the first invoice for soil?,Invoice,Min,None,train
How much has paulsen medical supply paid us This fiscal year?,Sales,Total,TRUE,train
What are my expenses for the This year?,Expense,Total,None,train
What are my AP Last 30 days?,Account Payable,Total,None,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
What are my last sales by vendor?,Sales,Max,None,train
"Since This month, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
What was our biggest expense This month to date?,Expense,Max,None,train
"Since This week to date, how many invoices have been late?",Invoice,Count,FALSE,train
How much money did we make Last 30 days?,Sales,Total,None,train
What is amy's bird sanctuary credit for This fiscal year to date?,Sales,Total,FALSE,train
What was the first invoice for rondonuwu fruit and vegi?,Invoice,Min,None,train
What were our total payroll expenses Last 30 days?,Expense,Total,None,train
Who has the lowest money outstanding?,Invoice,Min,None,test
"This week to date, what are my AR?",Account Receivables,Total,None,test
"As of Last 30 days, how many invoices for gevelber photography were still unpaid?",Invoice,Count,FALSE,train
What are my highest sales by department?,Sales,Max,None,train
What was our smallest expense Last month?,Expense,Min,None,train
How much we received from maintenance and repair?,Invoice,Total,None,train
What are my account payable Last 30 days?,Account Payable,Total,None,test
What was our total income from mark cho in Last 7 days?,Sales,Total,None,train
What is john melton credit for This quarter to date?,Sales,Total,FALSE,train
"Last year, how much has jeff's jalopies paid us?",Sales,Total,TRUE,test
How much has cool cars paid us This year?,Sales,Total,TRUE,train
How much money have we paid to edd today?,Expense,Total,TRUE,train
When was the first time we billed for taxes & licenses?,Expense,Min,None,train
How many invoices are past due since This week to date?,Invoice,Count,FALSE,train
What was the first invoice for weiskopf consulting?,Invoice,Min,None,train
How much did we spend on account payable (a/p) This month to date?,Expense,Total,None,train
How much we received from mastercard?,Invoice,Total,None,train
"As of Last 12 months, how many invoices for kookies by kathy remained unpaid?",Invoice,Count,FALSE,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
"Last 7 days, what are my AP?",Account Payable,Total,None,test
"This week to date, what was our smallest expense?",Expense,Min,None,train
What is my mean revenue for video games by dan in the today?,Sales,Average,None,train
"Since This week to date, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
"This quarter to date, what was our largest expense?",Expense,Max,None,train
How many rock fountain did I sell yesterday?,Invoice,Count,None,train
